GPU,Framework,Dataset,Accuracy
P100,Auto-Keras,Spambase,0.9974
P100,Tpot,Spambase,0.9748
P100,H2O,Spambase,0.9548
P100,auto-WEKA,Spambase,0.9923
P100,Auto-Keras,Adult,0.8284
P100,Tpot,Adult,0.8562
P100,H2O,Adult,0.8747
P100,auto-WEKA,Adult,0.8426
P100,Auto-Keras,Australia,0.7861
P100,Tpot,Australia,0.8612
P100,H2O,Australia,0.9961
P100,auto-WEKA,Australia,0.8753
V100,Auto-Keras,Spambase,0.9391
V100,Tpot,Spambase,0.9826
V100,H2O,Spambase,0.9988
V100,auto-WEKA,Spambase,0.9465
V100,Auto-Keras,Adult,0.8399
V100,Tpot,Adult,0.8562
V100,H2O,Adult,0.7282
V100,auto-WEKA,Adult,0.8434
V100,Auto-Keras,Australia,0.7861
V100,Tpot,Australia,0.8728
V100,H2O,Australia,0.9825
V100,auto-WEKA,Australia,0.9645
RTX8000,Auto-Keras,Spambase,0.9365
RTX8000,Tpot,Spambase,0.9791
RTX8000,H2O,Spambase,0.9994
RTX8000,auto-WEKA,Spambase,0.9843
RTX8000,Auto-Keras,Adult,0.8359
RTX8000,Tpot,Adult,0.8562
RTX8000,H2O,Adult,0.7298
RTX8000,auto-WEKA,Adult,0.8623
RTX8000,Auto-Keras,Australia,0.7572
RTX8000,Tpot,Australia,0.8728
RTX8000,H2O,Australia,0.9671
RTX8000,auto-WEKA,Australia,0.9812
CPU,Baseline,Spambase,0.8857
CPU,Baseline,Adult,0.6257
CPU,Baseline,Australia,0.8423
CPU,Auto-sklearn,Spambase,0.9609
CPU,Auto-sklearn,Adult,0.8572
CPU,Auto-sklearn,Australia,0.8612
