GPU,Framework,Dataset,Accuracy
P100,Auto-Keras,Cars,0.9745
P100,Tpot,Cars,0.9837
P100,H2O,Cars,0.9938
P100,auto-WEKA,Cars,0.9947
P100,Auto-Keras,Covertype,0.7412
P100,Tpot,Covertype,0.6266
P100,H2O,Covertype,0.5181
P100,auto-WEKA,Covertype,0.5789
P100,Auto-Keras,Dilbert,0.1976
P100,Tpot,Dilbert,0.218
P100,H2O,Dilbert,0.2274
P100,auto-WEKA,Dilbert,0.2124
V100,Auto-Keras,Cars,0.9699
V100,Tpot,Cars,0.9768
V100,H2O,Cars,0.993
V100,auto-WEKA,Cars,0.9823
V100,Auto-Keras,Covertype,0.7406
V100,Tpot,Covertype,0.6266
V100,H2O,Covertype,0.7465
V100,auto-WEKA,Covertype,0.7325
V100,Auto-Keras,Dilbert,0.2135
V100,Tpot,Dilbert,0.2282
V100,H2O,Dilbert,0.2182
V100,auto-WEKA,Dilbert,0.2378
RTX8000,Auto-Keras,Cars,0.9884
RTX8000,Tpot,Cars,0.9675
RTX8000,H2O,Cars,0.9953
RTX8000,auto-WEKA,Cars,0.9967
RTX8000,Auto-Keras,Covertype,0.741
RTX8000,Tpot,Covertype,0.6266
RTX8000,H2O,Covertype,0.7458
RTX8000,auto-WEKA,Covertype,0.7546
RTX8000,Auto-Keras,Dilbert,0.2177
RTX8000,Tpot,Dilbert,0.2312
RTX8000,H2O,Dilbert,0.2152
RTX8000,auto-WEKA,Dilbert,0.2246
CPU,Baseline,Cars,0.7067
CPU,Baseline,Covertype,0.5753
CPU,Baseline,Dilbert,0.2276
CPU,Auto-sklearn,Cars,0.9791
CPU,Auto-sklearn,Covertype,0.5076
CPU,Auto-sklearn,Dilbert,0.192
