GPU,Framework,Dataset,Accuracy
P100,Auto-Keras,boston,4343.3
P100,Tpot,boston,2653.35
P100,H2O,boston,2436.24
P100,auto-WEKA,boston,2367.12
P100,Auto-Keras,PUMA8NH,99.231
P100,Tpot,PUMA8NH,3.14
P100,H2O,PUMA8NH,4.32
P100,auto-WEKA,PUMA8NH,3.97
P100,Auto-Keras,stock,1527.41
P100,Tpot,stock,860.23
P100,H2O,stock,790.46
P100,auto-WEKA,stock,850.21
V100,Auto-Keras,boston,4481.69
V100,Tpot,boston,2637.44
V100,H2O,boston,2567.23
V100,auto-WEKA,boston,2678.98
V100,Auto-Keras,PUMA8NH,88.611
V100,Tpot,PUMA8NH,1.4006
V100,H2O,PUMA8NH,4.98
V100,auto-WEKA,PUMA8NH,3.29
V100,Auto-Keras,stock,1160.92
V100,Tpot,stock,942.14
V100,H2O,stock,870.56
V100,auto-WEKA,stock,890.32
RTX8000,Auto-Keras,boston,4690.73
RTX8000,Tpot,boston,2637.44
RTX8000,H2O,boston,2742.34
RTX8000,auto-WEKA,boston,2547.23
RTX8000,Auto-Keras,PUMA8NH,89.323
RTX8000,Tpot,PUMA8NH,2.1772
RTX8000,H2O,PUMA8NH,4.58
RTX8000,auto-WEKA,PUMA8NH,3.63
RTX8000,Auto-Keras,stock,1567.96
RTX8000,Tpot,stock,884.23
RTX8000,H2O,stock,820.13
RTX8000,auto-WEKA,stock,898.23
CPU,Baseline,boston,2517.94
CPU,Baseline,PUMA8NH,807.23
CPU,Baseline,stock,1280.77
CPU,Auto-Sklearn,boston,2673.15
CPU,Auto-Sklearn,PUMA8NH,1.887
CPU,Auto-Sklearn,stock,871.76
